timestamp,lat,lon,altitude_m,distance_m,speed_ms,heart_rate_bpm,cadence_rpm,power_w
2026-07-22T20:24:52Z,-21.7253459,166.1567009,11.6,0.4,0.000,110,81,124
2026-07-22T20:24:53Z,-21.7253390,166.1567120,11.6,1.5,1.100,110,81,125
2026-07-22T20:24:54Z,-21.7253260,166.1567220,11.6,3.7,1.650,111,81,125
2026-07-22T20:24:55Z,-21.7253080,166.1567439,11.6,6.6,2.067,112,81,125
2026-07-22T20:24:56Z,-21.7252909,166.1567760,11.6,9.9,2.375,112,82,125
2026-07-22T20:24:57Z,-21.7252690,166.1568080,11.4,13.8,2.680,112,83,125
2026-07-22T20:24:58Z,-21.7252469,166.1568299,11.4,18.1,3.320,112,84,124
2026-07-22T20:24:59Z,-21.7252220,166.1568619,11.4,22.6,3.780,113,84,124
2026-07-22T20:25:00Z,-21.7251960,166.1569149,11.2,27.6,4.200,113,85,124
2026-07-22T20:25:01Z,-21.7251670,166.1569579,11.2,32.9,4.600,113,86,124
2026-07-22T20:25:02Z,-21.7251380,166.1570009,11.2,38.5,4.940,113,86,124
2026-07-22T20:25:03Z,-21.7251070,166.1570439,11.0,44.4,5.260,113,86,125
2026-07-22T20:25:04Z,-21.7250790,166.1570980,11.0,50.4,5.560,113,86,125
2026-07-22T20:25:05Z,-21.7250510,166.1571410,11.0,56.8,5.840,114,85,124
2026-07-22T20:25:06Z,-21.7250210,166.1572049,10.8,63.2,6.060,114,85,125
2026-07-22T20:25:07Z,-21.7249930,166.1572589,10.8,69.9,6.280,114,85,124
2026-07-22T20:25:08Z,-21.7249690,166.1573230,10.6,76.8,6.480,114,85,124
2026-07-22T20:25:09Z,-21.7249459,166.1573870,10.6,83.9,6.700,115,85,124
2026-07-22T20:25:10Z,-21.7249289,166.1574410,10.6,91.1,6.860,115,84,125
2026-07-22T20:25:11Z,-21.7249169,166.1575160,10.6,98.5,7.060,116,84,124
