timestamp,lat,lon,altitude_m,distance_m,speed_ms,heart_rate_bpm,cadence_rpm,power_w
2026-07-24T17:57:17Z,35.1673488,-106.7114915,1606.4,0.0,0.000,93,0,0
2026-07-24T17:57:18Z,35.1673488,-106.7114895,1619.0,0.0,0.000,94,0,0
2026-07-24T17:57:19Z,35.1673488,-106.7114871,1619.2,0.0,0.000,93,0,0
2026-07-24T17:57:20Z,35.1673486,-106.7114844,1619.2,0.1,0.065,93,0,0
2026-07-24T17:57:21Z,35.1673464,-106.7114845,1619.2,2.4,2.351,93,0,0
2026-07-24T17:57:22Z,35.1673254,-106.7114902,1619.2,4.9,2.454,94,0,0
2026-07-24T17:57:23Z,35.1673037,-106.7114843,1619.0,7.2,2.277,96,0,0
2026-07-24T17:57:24Z,35.1672871,-106.7114766,1618.8,9.5,2.379,96,0,0
2026-07-24T17:57:25Z,35.1672740,-106.7114553,1618.8,12.1,2.585,97,0,0
2026-07-24T17:57:26Z,35.1672720,-106.7114308,1618.6,14.5,2.361,98,0,0
2026-07-24T17:57:27Z,35.1672717,-106.7114113,1618.6,16.8,2.361,98,0,0
2026-07-24T17:57:28Z,35.1672716,-106.7113877,1618.4,19.0,2.118,98,0,0
2026-07-24T17:57:29Z,35.1672731,-106.7113586,1618.6,21.2,2.277,98,0,0
2026-07-24T17:57:30Z,35.1672740,-106.7113376,1618.6,24.9,3.620,98,0,0
2026-07-24T17:57:31Z,35.1672805,-106.7113051,1618.6,28.9,4.068,98,0,0
2026-07-24T17:57:32Z,35.1672926,-106.7112642,1618.6,33.9,5.020,100,51,293
2026-07-24T17:57:33Z,35.1673064,-106.7112153,1618.4,39.1,5.197,100,58,260
2026-07-24T17:57:34Z,35.1673200,-106.7111633,1618.4,44.7,5.533,101,63,255
2026-07-24T17:57:35Z,35.1673359,-106.7111075,1618.2,50.4,5.757,103,63,215
2026-07-24T17:57:36Z,35.1673564,-106.7110492,1618.0,56.4,5.972,103,68,215
2026-07-24T17:57:37Z,35.1673796,-106.7109912,1617.8,62.5,6.158,105,68,201
2026-07-24T17:57:38Z,35.1674046,-106.7109314,1617.4,68.8,6.242,105,71,201
2026-07-24T17:57:39Z,35.1674308,-106.7108719,1617.4,75.1,6.345,108,74,186
2026-07-24T17:57:40Z,35.1674613,-106.7108138,1617.2,81.6,6.429,108,74,184
2026-07-24T17:57:41Z,35.1674966,-106.7107593,1617.0,88.1,6.503,109,74,184
2026-07-24T17:57:42Z,35.1675383,-106.7107098,1616.8,94.8,6.681,111,76,184
2026-07-24T17:57:43Z,35.1675859,-106.7106671,1616.6,101.3,6.569,111,77,190
2026-07-24T17:57:44Z,35.1676463,-106.7106245,1616.4,107.9,6.559,112,77,176
2026-07-24T17:57:45Z,35.1676892,-106.7106020,1616.2,114.3,6.410,112,77,176
2026-07-24T17:57:46Z,35.1677437,-106.7105801,1616.2,120.8,6.513,114,76,186
2026-07-24T17:57:47Z,35.1677986,-106.7105627,1616.0,127.2,6.410,114,75,193
2026-07-24T17:57:48Z,35.1678542,-106.7105506,1615.8,133.5,6.317,114,75,204
2026-07-24T17:57:49Z,35.1679101,-106.7105435,1615.8,140.0,6.485,115,76,200
2026-07-24T17:57:50Z,35.1679673,-106.7105381,1615.8,146.4,6.354,116,76,201
2026-07-24T17:57:51Z,35.1680242,-106.7105318,1615.8,152.9,6.541,116,76,201
2026-07-24T17:57:52Z,35.1680786,-106.7105259,1615.8,159.3,6.420,116,75,191
2026-07-24T17:57:53Z,35.1681359,-106.7105192,1615.8,165.8,6.466,118,75,192
2026-07-24T17:57:54Z,35.1681930,-106.7105134,1615.6,172.1,6.336,118,75,202
2026-07-24T17:57:55Z,35.1682505,-106.7105077,1615.6,178.4,6.280,119,75,214
2026-07-24T17:57:56Z,35.1683090,-106.7105020,1615.6,184.7,6.298,119,75,218
2026-07-24T17:57:57Z,35.1683667,-106.7105055,1615.6,191.1,6.354,121,75,221
2026-07-24T17:57:58Z,35.1684230,-106.7105208,1615.6,197.5,6.429,121,75,252
2026-07-24T17:57:59Z,35.1684731,-106.7105514,1615.6,204.0,6.485,122,75,252
2026-07-24T17:58:00Z,35.1685099,-106.7106044,1615.8,210.5,6.541,122,76,248
2026-07-24T17:58:01Z,35.1685261,-106.7106710,1615.8,217.3,6.746,122,77,298
2026-07-24T17:58:02Z,35.1685118,-106.7107377,1615.8,224.1,6.793,123,79,307
2026-07-24T17:58:03Z,35.1684795,-106.7108005,1616.0,231.0,6.942,124,80,282
2026-07-24T17:58:04Z,35.1684455,-106.7108636,1616.0,238.0,7.007,124,80,257
2026-07-24T17:58:05Z,35.1684127,-106.7109454,1616.4,245.0,7.026,124,82,257
2026-07-24T17:58:06Z,35.1683892,-106.7110183,1616.6,252.2,7.194,125,84,232
2026-07-24T17:58:07Z,35.1683674,-106.7110910,1617.0,259.5,7.213,125,85,211
2026-07-24T17:58:08Z,35.1683448,-106.7111640,1617.2,266.7,7.278,126,86,194
2026-07-24T17:58:09Z,35.1683180,-106.7112368,1617.4,274.2,7.511,126,87,210
2026-07-24T17:58:10Z,35.1682877,-106.7113109,1617.6,281.7,7.446,126,88,197
2026-07-24T17:58:11Z,35.1682636,-106.7113690,1617.6,289.3,7.670,127,89,194
2026-07-24T17:58:12Z,35.1682282,-106.7114584,1617.8,296.9,7.539,128,89,197
2026-07-24T17:58:13Z,35.1682012,-106.7115340,1617.8,304.6,7.670,128,89,203
2026-07-24T17:58:14Z,35.1681748,-106.7116096,1617.8,312.1,7.558,129,89,203
2026-07-24T17:58:15Z,35.1681494,-106.7116852,1618.0,319.9,7.772,128,90,190
2026-07-24T17:58:16Z,35.1681228,-106.7117632,1618.0,327.4,7.539,129,90,197
2026-07-24T17:58:17Z,35.1680983,-106.7118417,1618.2,335.1,7.726,129,90,218
2026-07-24T17:58:18Z,35.1680769,-106.7119214,1618.2,342.7,7.511,129,89,219
2026-07-24T17:58:19Z,35.1680563,-106.7119995,1618.2,350.0,7.362,129,88,215
2026-07-24T17:58:20Z,35.1680401,-106.7120613,1618.4,357.5,7.437,130,88,216
2026-07-24T17:58:21Z,35.1680140,-106.7121524,1618.4,364.6,7.194,130,86,216
2026-07-24T17:58:22Z,35.1679885,-106.7122258,1618.4,371.9,7.194,130,84,215
2026-07-24T17:58:23Z,35.1679614,-106.7122948,1618.6,379.0,7.194,131,83,223
2026-07-24T17:58:24Z,35.1679343,-106.7123625,1618.8,386.0,6.961,131,82,210
2026-07-24T17:58:25Z,35.1679096,-106.7124316,1618.8,392.9,6.895,132,82,268
2026-07-24T17:58:26Z,35.1678863,-106.7125009,1619.0,399.9,7.007,132,82,228
