Lap,Time,Cumulative Time,Distance,Cumulative Distance,Avg Speed,Avg HR,Max HR,Total Ascent,Total Descent,Avg Cadence,Max Cadence,NP,Balance Left %,Balance Right %,Avg Power,Avg w/Kg,Max power,Max w/Kg,Max Avg Power 20 min,Total Standing Time,Avg Standing Power,Max Standing Power,Total Seated Time,Avg Seated Power,Max Seated Power,L Power Phase Start Angle,L Power Phase End Angle,R Power Phase Start Angle,R Power Phase End Angle,L Power Phase Arc length,R Power Phase Arc length,L Peak Power Phase Start Angle,L Peak Power Phase End Angle,R Peak Power Phase Start Angle,R Peak Power Phase End Angle,L Peak Power Phase Arc length,R Peak power Phase Arc Length,L PCO Average,R PCO Average,Calories,Avg Temperature,Max Speed,Moving Time,Avg Moving Speed
1,20:00,20:00,5.58,5.58,16.7,120,148,135,387,77,112,169,55,45,161,1.96,509,6.2,--,--,--,--,--,198,509,350,200,353,204,208,210,55,125,53,129,70,76,0,0,170,60.8,27.1,19:56,16.8
2,09:59.5,30:00:00,2.33,7.91,14,136,158,164,16,78,115,225,55,45,201,2.45,530,6.46,--,--,--,--,--,233,530,350,201,354,207,210,211,55,124,56,129,69,73,0,0,133,59,20.3,9:58,14
3,20:00,50:00:00,4.11,12.02,12.3,155,160,646,46,83,110,258,53,47,253,3.08,443,5.4,--,0:34,366,334,19:26,280,443,350,207,350,208,215,217,60,120,62,122,59,60,0,0,332,62.6,28.8,20:00,12.3
4,06:53.5,56:53:00,0.81,12.83,7.1,156,160,282,0,73,103,254,53,47,246,3,336,4.1,--,0:18,393,336,6:35,276,332,354,204,350,208,208,217,55,115,62,122,60,60,0,0,111,68,10.1,6:53,7.1
5,11:04,1:07:57,4.13,16.96,22.4,120,148,36,827,78,107,136,55,45,156,1.9,385,4.69,--,--,--,--,--,184,385,354,198,357,200,203,201,59,122,58,127,63,69,0,0,69,69.8,37,10:49,22.9
6,07:48.9,1:15:46,1.16,18.12,8.9,150,158,322,3,72,90,265,53,47,266,3.24,392,4.78,--,0:24,342,345,7:25,299,392,353,215,354,211,221,215,56,118,63,122,62,59,0,0,135,68,13.7,07:48.9,8.9
7,20:00,1:35:46,3.69,21.81,11.1,129,159,404,341,76,105,185,54,46,185,2.25,392,4.78,--,--,--,--,--,210,392,356,200,0,203,203,203,56,115,58,118,59,60,0,0,192,71.6,26.1,18:45,11.8
8,04:25.3,1:40:12,1.52,23.33,20.6,114,143,36,256,80,107,139,55,45,175,2.13,324,3.95,--,--,--,--,--,198,324,354,203,357,198,207,200,56,117,53,121,60,68,0,0,24,75.2,30.8,4:24,20.7
9,05:44.4,1:45:56,0.58,23.91,6.1,154,158,262,0,68,88,268,53,47,268,3.27,379,4.62,--,1:14,318,324,4:30,290,379,347,200,346,203,211,215,56,115,62,124,59,62,0,0,100,75.2,11.6,05:44.4,6.1
10,03:11.2,1:49:07,0.37,24.28,7,157,159,138,0,80,103,256,54,46,251,3.06,312,3.8,--,--,--,--,--,282,312,354,204,356,211,208,214,58,117,65,129,59,65,0,0,52,75.2,10.9,3:11,7
11,19:07,2:08:14,5.43,29.71,17,113,159,36,922,70,113,100,54,46,117,1.43,449,5.47,--,0:05,306,366,19:02,149,449,357,204,0,203,205,203,56,138,58,136,82,79,0,0,73,77,57.1,16:45,19.4
12,20:00,2:28:14,4.37,34.08,13.1,129,147,226,43,80,108,156,55,45,149,1.82,423,5.16,--,--,--,--,--,174,423,354,201,0,203,205,203,58,124,58,129,66,72,0,0,195,78.8,20.3,20:00,13.1
13,02:07.8,2:30:22,0.37,34.45,10.4,135,141,39,0,88,114,156,54,46,150,1.83,261,3.18,--,--,--,--,--,162,261,353,200,357,200,205,201,59,118,58,120,59,62,0,0,22,82.4,13.4,2:07,10.5
14,20:00,2:50:22,4.12,38.57,12.4,155,164,630,39,89,115,243,54,46,239,2.91,385,4.69,--,1:01,386,385,18:59,254,370,352,204,354,203,211,207,63,124,66,127,60,60,0,0,315,78.8,27,20:00,12.3
15,02:38.6,2:53:00,0.36,38.93,8.1,160,162,105,0,84,95,252,53,47,248,3.02,314,3.83,--,--,--,--,--,287,314,0,205,357,210,205,211,62,121,68,129,59,62,0,0,42,78.8,10.3,2:37,8.2
16,03:48.6,2:56:49,0.41,39.34,6.4,159,164,164,0,76,98,246,53,47,246,3,363,4.42,--,0:30,345,363,3:18,256,310,353,193,353,203,198,208,59,118,66,125,59,59,0,0,61,80.6,12,03:48.6,6.4
17,11:44,3:08:32,4.15,43.49,21.2,123,160,59,833,78,105,117,55,45,123,1.5,318,3.88,--,0:01,215,215,11:43,142,318,357,198,3,201,200,198,59,124,62,129,65,68,0,0,51,80.6,34.1,11:43,21.2
18,08:07.2,3:16:40,1.16,44.65,8.6,150,157,322,0,79,99,245,54,46,246,3,394,4.8,--,0:07,334,380,8:00,270,394,354,204,354,203,208,207,60,120,63,124,59,60,0,0,131,80.6,12.9,08:07.2,8.6
19,20:00,3:36:40,3.71,48.36,11.1,134,158,413,348,73,116,171,54,46,173,2.11,401,4.89,--,--,--,--,--,199,401,357,200,0,204,201,204,56,117,59,121,60,62,0,0,184,84.2,28.5,18:57,11.8
20,04:58.8,3:41:38,1.53,49.89,18.4,120,137,36,256,78,111,114,54,46,133,1.62,219,2.67,--,--,--,--,--,150,219,356,201,0,195,204,195,56,120,59,117,63,58,0,0,28,87.8,42.8,4:57,18.5
